Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RClose
2009-01-06 00:00:00+08:00,0.028529,0.028529,0.028529,0.028529,0,0.000000,0.000000,0.043029
2009-01-07 00:00:00+08:00,0.028529,0.028529,0.028529,0.028529,0,0.000000,0.000000,0.043029
2009-01-08 00:00:00+08:00,0.028529,0.028529,0.028529,0.028529,0,0.000000,0.000000,0.043029
2009-01-09 00:00:00+08:00,0.028529,0.028529,0.028529,0.028529,0,0.000000,0.000000,0.043029
2009-01-12 00:00:00+08:00,0.028529,0.028529,0.028529,0.028529,0,0.000000,0.000000,0.043029
2009-01-13 00:00:00+08:00,0.028529,0.028529,0.028529,0.028529,0,0.000000,0.000000,0.043029
2009-01-14 00:00:00+08:00,0.028529,0.028529,0.028529,0.028529,0,0.000000,0.000000,0.043029
2009-01-15 00:00:00+08:00,0.028529,0.028529,0.028529,0.028529,0,0.000000,0.000000,0.043029
2009-01-16 00:00:00+08:00,0.028529,0.028529,0.028529,0.028529,0,0.000000,0.000000,0.043029
2009-01-19 00:00:00+08:00,0.040756,0.048907,0.040756,0.040756,701000,0.000000,0.000000,0.055256
2009-01-20 00:00:00+08:00,0.044832,0.044832,0.040756,0.040756,258000,0.000000,0.000000,0.055256
2009-01-21 00:00:00+08:00,0.044832,0.044832,0.036681,0.036681,13000,0.000000,0.000000,0.051181
2009-01-22 00:00:00+08:00,0.048907,0.048907,0.040756,0.040756,269000,0.000000,0.000000,0.055256
2009-01-23 00:00:00+08:00,0.048907,0.052983,0.048907,0.048907,234000,0.000000,0.000000,0.063407
2009-01-28 00:00:00+08:00,0.052983,0.057059,0.052983,0.052983,279000,0.000000,0.000000,0.067483
2009-01-29 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,5000,0.000000,0.000000,0.063407
2009-01-30 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-02-02 00:00:00+08:00,0.057059,0.061134,0.057059,0.061134,33000,0.000000,0.000000,0.075634
2009-02-03 00:00:00+08:00,0.057059,0.057059,0.052983,0.052983,156000,0.000000,0.000000,0.067483
2009-02-04 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,4000,0.000000,0.000000,0.075634
2009-02-05 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,24000,0.000000,0.000000,0.067483
2009-02-06 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-02-09 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-02-10 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-02-11 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-02-12 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-02-13 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-02-16 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-02-17 00:00:00+08:00,0.052983,0.057059,0.052983,0.057059,85000,0.000000,0.000000,0.071559
2009-02-18 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,0,0.000000,0.000000,0.071559
2009-02-19 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,0,0.000000,0.000000,0.071559
2009-02-20 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,0,0.000000,0.000000,0.071559
2009-02-23 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,0,0.000000,0.000000,0.071559
2009-02-24 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,0,0.000000,0.000000,0.071559
2009-02-25 00:00:00+08:00,0.065210,0.065210,0.065210,0.065210,1000,0.000000,0.000000,0.079710
2009-02-26 00:00:00+08:00,0.065210,0.065210,0.065210,0.065210,0,0.000000,0.000000,0.079710
2009-02-27 00:00:00+08:00,0.065210,0.065210,0.065210,0.065210,0,0.000000,0.000000,0.079710
2009-03-02 00:00:00+08:00,0.065210,0.065210,0.065210,0.065210,0,0.000000,0.000000,0.079710
2009-03-03 00:00:00+08:00,0.052983,0.061134,0.052983,0.061134,23000,0.000000,0.000000,0.075634
2009-03-04 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-03-05 00:00:00+08:00,0.052983,0.073361,0.052983,0.052983,41000,0.000000,0.000000,0.067483
2009-03-06 00:00:00+08:00,0.052983,0.061134,0.052983,0.061134,56000,0.000000,0.000000,0.075634
2009-03-09 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-03-10 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-03-11 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-03-12 00:00:00+08:00,0.052983,0.081512,0.052983,0.052983,64000,0.000000,0.000000,0.067483
2009-03-13 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-03-16 00:00:00+08:00,0.081512,0.081512,0.081512,0.081512,1000,0.000000,0.000000,0.096012
2009-03-17 00:00:00+08:00,0.081512,0.081512,0.081512,0.081512,0,0.000000,0.000000,0.096012
2009-03-18 00:00:00+08:00,0.081512,0.081512,0.081512,0.081512,0,0.000000,0.000000,0.096012
2009-03-19 00:00:00+08:00,0.081512,0.081512,0.081512,0.081512,0,0.000000,0.000000,0.096012
2009-03-20 00:00:00+08:00,0.081512,0.081512,0.081512,0.081512,0,0.000000,0.000000,0.096012
2009-03-23 00:00:00+08:00,0.048907,0.069286,0.048907,0.069286,13000,0.000000,0.000000,0.083786
2009-03-24 00:00:00+08:00,0.069286,0.069286,0.069286,0.069286,0,0.000000,0.000000,0.083786
2009-03-25 00:00:00+08:00,0.069286,0.069286,0.069286,0.069286,0,0.000000,0.000000,0.083786
2009-03-26 00:00:00+08:00,0.069286,0.069286,0.069286,0.069286,0,0.000000,0.000000,0.083786
2009-03-27 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,70000,0.000000,0.000000,0.067483
2009-03-30 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-03-31 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,1000,0.000000,0.000000,0.071559
2009-04-01 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,0,0.000000,0.000000,0.071559
2009-04-02 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,0,0.000000,0.000000,0.071559
2009-04-03 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,20000,0.000000,0.000000,0.063407
2009-04-06 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-04-07 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-04-08 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,16000,0.000000,0.000000,0.063407
2009-04-09 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-04-13 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,20000,0.000000,0.000000,0.075634
2009-04-14 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-04-15 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-04-16 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-04-17 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-04-20 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-04-21 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-04-22 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-04-23 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-04-24 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-04-27 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-04-28 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-04-29 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-04-30 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-05-01 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-05-04 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-05-05 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,52000,0.000000,0.000000,0.071559
2009-05-06 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,0,0.000000,0.000000,0.071559
2009-05-07 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,0,0.000000,0.000000,0.071559
2009-05-08 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,0,0.000000,0.000000,0.071559
2009-05-11 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,0,0.000000,0.000000,0.071559
2009-05-12 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,15000,0.000000,0.000000,0.067483
2009-05-13 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-05-14 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-05-15 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,1000,0.000000,0.000000,0.075634
2009-05-18 00:00:00+08:00,0.052983,0.085588,0.052983,0.085588,26000,0.000000,0.000000,0.100088
2009-05-19 00:00:00+08:00,0.085588,0.085588,0.085588,0.085588,0,0.000000,0.000000,0.100088
2009-05-20 00:00:00+08:00,0.085588,0.085588,0.085588,0.085588,0,0.000000,0.000000,0.100088
2009-05-21 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,31000,0.000000,0.000000,0.071559
2009-05-22 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,89000,0.000000,0.000000,0.071559
2009-05-25 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,39000,0.000000,0.000000,0.071559
2009-05-26 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,0,0.000000,0.000000,0.071559
2009-05-27 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,0,0.000000,0.000000,0.071559
2009-05-28 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,0,0.000000,0.000000,0.071559
2009-05-29 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,130000,0.000000,0.000000,0.067483
2009-06-01 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,11000,0.000000,0.000000,0.067483
2009-06-02 00:00:00+08:00,0.057059,0.057059,0.052983,0.052983,150000,0.000000,0.000000,0.067483
2009-06-03 00:00:00+08:00,0.057059,0.065210,0.057059,0.065210,310000,0.000000,0.000000,0.079710
2009-06-04 00:00:00+08:00,0.089664,0.089664,0.089664,0.089664,61000,0.000000,0.000000,0.104164
2009-06-05 00:00:00+08:00,0.089664,0.089664,0.089664,0.089664,0,0.000000,0.000000,0.104164
2009-06-08 00:00:00+08:00,0.077437,0.089664,0.077437,0.089664,15000,0.000000,0.000000,0.104164
2009-06-09 00:00:00+08:00,0.077437,0.077437,0.077437,0.077437,10000,0.000000,0.000000,0.091937
2009-06-10 00:00:00+08:00,0.077437,0.077437,0.077437,0.077437,0,0.000000,0.000000,0.091937
2009-06-11 00:00:00+08:00,0.077437,0.077437,0.077437,0.077437,0,0.000000,0.000000,0.091937
2009-06-12 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,166000,0.000000,0.000000,0.071559
2009-06-15 00:00:00+08:00,0.065210,0.065210,0.065210,0.065210,60000,0.000000,0.000000,0.079710
2009-06-16 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,67000,0.000000,0.000000,0.075634
2009-06-17 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,25000,0.000000,0.000000,0.071559
2009-06-18 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,0,0.000000,0.000000,0.071559
2009-06-19 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,0,0.000000,0.000000,0.071559
2009-06-22 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,0,0.000000,0.000000,0.071559
2009-06-23 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,40000,0.000000,0.000000,0.075634
2009-06-24 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-06-25 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-06-26 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-06-29 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-06-30 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-07-01 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-07-02 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-07-03 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-07-06 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-07-07 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-07-08 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,15000,0.000000,0.000000,0.067483
2009-07-09 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-07-10 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-07-13 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-07-14 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-07-15 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-07-16 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-07-17 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,4000,0.000000,0.000000,0.067483
2009-07-20 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-07-21 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-07-22 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-07-23 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-07-24 00:00:00+08:00,0.057059,0.057059,0.057059,0.057059,50000,0.000000,0.000000,0.071559
2009-07-27 00:00:00+08:00,0.052983,0.061134,0.052983,0.061134,69000,0.000000,0.000000,0.075634
2009-07-28 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-07-29 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,0,0.000000,0.000000,0.075634
2009-07-30 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,15000,0.000000,0.000000,0.067483
2009-07-31 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-08-03 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-08-04 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,8000,0.000000,0.000000,0.067483
2009-08-05 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-08-06 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-08-07 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-08-11 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-08-12 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-08-13 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-08-14 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-08-17 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-08-18 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,0,0.000000,0.000000,0.067483
2009-08-19 00:00:00+08:00,0.052983,0.052983,0.052983,0.052983,152000,0.000000,0.000000,0.067483
2009-08-20 00:00:00+08:00,0.061134,0.061134,0.061134,0.061134,215000,0.000000,0.000000,0.075634
2009-08-21 00:00:00+08:00,0.065210,0.065210,0.065210,0.065210,38000,0.000000,0.000000,0.079710
2009-08-24 00:00:00+08:00,0.065210,0.065210,0.065210,0.065210,0,0.000000,0.000000,0.079710
2009-08-25 00:00:00+08:00,0.065210,0.065210,0.065210,0.065210,0,0.000000,0.000000,0.079710
2009-08-26 00:00:00+08:00,0.065210,0.065210,0.065210,0.065210,0,0.000000,0.000000,0.079710
2009-08-27 00:00:00+08:00,0.057059,0.065210,0.057059,0.065210,105000,0.000000,0.000000,0.079710
2009-08-28 00:00:00+08:00,0.073361,0.073361,0.073361,0.073361,155000,0.000000,0.000000,0.087861
2009-08-31 00:00:00+08:00,0.073361,0.073361,0.073361,0.073361,0,0.000000,0.000000,0.087861
2009-09-01 00:00:00+08:00,0.073361,0.073361,0.073361,0.073361,0,0.000000,0.000000,0.087861
2009-09-02 00:00:00+08:00,0.073361,0.073361,0.073361,0.073361,70000,0.000000,0.000000,0.087861
2009-09-03 00:00:00+08:00,0.073361,0.073361,0.073361,0.073361,0,0.000000,0.000000,0.087861
2009-09-04 00:00:00+08:00,0.065210,0.069286,0.065210,0.069286,80000,0.000000,0.000000,0.083786
2009-09-07 00:00:00+08:00,0.069286,0.069286,0.069286,0.069286,0,0.000000,0.000000,0.083786
2009-09-08 00:00:00+08:00,0.065210,0.069286,0.065210,0.069286,112000,0.000000,0.000000,0.083786
2009-09-09 00:00:00+08:00,0.069286,0.069286,0.069286,0.069286,0,0.000000,0.000000,0.083786
2009-09-10 00:00:00+08:00,0.069286,0.069286,0.069286,0.069286,0,0.000000,0.000000,0.083786
2009-09-11 00:00:00+08:00,0.069286,0.069286,0.069286,0.069286,0,0.000000,0.000000,0.083786
2009-09-14 00:00:00+08:00,0.069286,0.069286,0.069286,0.069286,0,0.000000,0.000000,0.083786
2009-09-15 00:00:00+08:00,0.069286,0.069286,0.069286,0.069286,0,0.000000,0.000000,0.083786
2009-09-16 00:00:00+08:00,0.073361,0.073361,0.073361,0.073361,45000,0.000000,0.000000,0.087861
2009-09-17 00:00:00+08:00,0.073361,0.073361,0.073361,0.073361,0,0.000000,0.000000,0.087861
2009-09-18 00:00:00+08:00,0.073361,0.073361,0.073361,0.073361,0,0.000000,0.000000,0.087861
2009-09-21 00:00:00+08:00,0.073361,0.073361,0.073361,0.073361,0,0.000000,0.000000,0.087861
2009-09-22 00:00:00+08:00,0.073361,0.073361,0.073361,0.073361,0,0.000000,0.000000,0.087861
2009-09-23 00:00:00+08:00,0.073361,0.073361,0.073361,0.073361,0,0.000000,0.000000,0.087861
2009-09-24 00:00:00+08:00,0.061134,0.065210,0.061134,0.065210,134000,0.000000,0.000000,0.079710
2009-09-25 00:00:00+08:00,0.065210,0.065210,0.065210,0.065210,0,0.000000,0.000000,0.079710
2009-09-28 00:00:00+08:00,0.065210,0.065210,0.065210,0.065210,0,0.000000,0.000000,0.079710
2009-09-29 00:00:00+08:00,0.065210,0.065210,0.065210,0.065210,0,0.000000,0.000000,0.079710
2009-09-30 00:00:00+08:00,0.065210,0.065210,0.065210,0.065210,0,0.000000,0.000000,0.079710
2009-10-01 00:00:00+08:00,0.065210,0.065210,0.065210,0.065210,0,0.000000,0.000000,0.079710
2009-10-02 00:00:00+08:00,0.052983,0.065210,0.052983,0.065210,93000,0.000000,0.000000,0.079710
2009-10-05 00:00:00+08:00,0.065210,0.065210,0.065210,0.065210,0,0.000000,0.000000,0.079710
2009-10-06 00:00:00+08:00,0.052983,0.052983,0.048907,0.048907,246000,0.000000,0.000000,0.063407
2009-10-07 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,309000,0.000000,0.000000,0.063407
2009-10-08 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-10-09 00:00:00+08:00,0.044832,0.052983,0.044832,0.052983,63000,0.000000,0.000000,0.067483
2009-10-12 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,80000,0.000000,0.000000,0.063407
2009-10-13 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-10-14 00:00:00+08:00,0.044832,0.048907,0.044832,0.048907,3000,0.000000,0.000000,0.063407
2009-10-15 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-10-16 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-10-19 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-10-20 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-10-21 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-10-22 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-10-23 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-10-26 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-10-27 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-10-28 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-10-29 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-10-30 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,37000,0.000000,0.000000,0.063407
2009-11-02 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-11-03 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-11-04 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-11-05 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-11-06 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-11-09 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-11-10 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-11-11 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-11-12 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-11-13 00:00:00+08:00,0.052983,0.052983,0.040756,0.048907,301000,0.000000,0.000000,0.063407
2009-11-17 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-11-18 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-11-19 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-11-20 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-11-23 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,65000,0.000000,0.000000,0.063407
2009-11-24 00:00:00+08:00,0.040756,0.044832,0.040756,0.044832,638000,0.000000,0.000000,0.059332
2009-11-25 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,13000,0.000000,0.000000,0.063407
2009-11-26 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
2009-11-30 00:00:00+08:00,0.040756,0.048907,0.040756,0.048907,45000,0.000000,0.000000,0.063407
2009-12-01 00:00:00+08:00,0.048907,0.048907,0.048907,0.048907,0,0.000000,0.000000,0.063407
